rank,car_id,km_since_service,avg_daily_km,load_factor,broke_down,risk_score
1,VOS-1822,13977,200,0.98,1,52.7
2,VOS-1259,12556,229,0.88,1,51.0
3,VOS-1728,13882,244,0.71,1,49.5
4,VOS-1217,15657,164,0.79,0,46.1
5,VOS-1580,5194,229,0.98,0,44.4
6,VOS-1505,14984,160,0.67,1,41.6
7,VOS-1162,11039,187,0.75,0,41.4
8,VOS-1309,5561,223,0.87,1,41.3
9,VOS-1098,12132,172,0.74,1,41.1
10,VOS-1448,1700,240,0.98,0,41.0
11,VOS-1471,11396,177,0.75,1,40.9
12,VOS-1643,7605,223,0.74,0,40.3
13,VOS-1594,10500,183,0.73,0,39.8
14,VOS-1032,16296,134,0.62,0,39.4
15,VOS-1649,4306,218,0.87,0,39.2
16,VOS-1755,12684,177,0.62,1,39.0
17,VOS-1235,2713,225,0.88,0,38.1
18,VOS-1831,14122,159,0.57,1,37.7
19,VOS-1224,13380,186,0.51,1,37.7
20,VOS-1082,14176,173,0.52,1,37.7
21,VOS-1525,11134,179,0.63,1,37.5
22,VOS-1707,12747,168,0.59,1,37.4
23,VOS-1767,6262,209,0.74,0,37.2
24,VOS-1137,10454,154,0.7,0,36.1
25,VOS-1395,8847,179,0.67,0,35.7
26,VOS-1130,15185,118,0.56,0,34.7
27,VOS-1366,14890,124,0.51,1,33.6
28,VOS-1349,1086,204,0.86,1,33.5
29,VOS-1390,15128,121,0.5,0,33.3
30,VOS-1464,12879,146,0.51,0,33.2
31,VOS-1760,906,212,0.83,0,33.2
32,VOS-1778,2719,195,0.79,0,32.7
33,VOS-1073,14513,115,0.52,1,32.5
34,VOS-1300,13920,130,0.49,1,32.4
35,VOS-1114,10291,150,0.57,0,31.9
36,VOS-1206,10989,130,0.6,1,31.7
37,VOS-1168,9057,127,0.7,0,31.7
38,VOS-1616,7002,162,0.66,0,31.4
39,VOS-1562,1926,201,0.75,0,31.2
40,VOS-1182,11150,140,0.54,0,31.2
41,VOS-1834,5670,162,0.71,0,31.1
42,VOS-1326,3960,212,0.59,0,30.5
43,VOS-1534,14027,119,0.45,0,30.3
44,VOS-1189,2921,195,0.68,0,30.0
45,VOS-1609,5211,168,0.64,0,29.1
46,VOS-1000,3507,172,0.7,0,29.0
47,VOS-1213,11576,140,0.44,0,29.0
48,VOS-1664,12057,128,0.45,0,28.7
49,VOS-1697,6008,149,0.65,0,28.6
50,VOS-1038,5116,177,0.59,1,28.5
51,VOS-1493,13813,124,0.37,1,28.4
52,VOS-1359,10814,117,0.53,1,28.3
53,VOS-1741,8769,138,0.55,0,28.3
54,VOS-1582,10316,131,0.5,0,28.2
55,VOS-1315,5653,167,0.59,0,28.2
56,VOS-1457,13421,128,0.36,1,28.0
57,VOS-1521,13844,97,0.44,1,27.7
58,VOS-1773,566,196,0.68,0,27.1
59,VOS-1548,12607,111,0.42,0,26.9
60,VOS-1337,14108,104,0.37,0,26.8
61,VOS-1285,8360,124,0.56,0,26.6
62,VOS-1689,8372,157,0.43,0,26.3
63,VOS-1656,6850,154,0.51,0,26.3
64,VOS-1633,12404,112,0.4,0,26.2
65,VOS-1048,1989,165,0.69,0,26.1
66,VOS-1791,8983,146,0.43,0,26.0
67,VOS-1379,6744,131,0.58,1,25.8
68,VOS-1705,5536,148,0.57,0,25.7
69,VOS-1333,11615,118,0.38,0,25.3
70,VOS-1811,4455,132,0.65,0,24.9
71,VOS-1813,15135,77,0.35,0,24.9
72,VOS-1497,3083,152,0.64,0,24.9
73,VOS-1020,11823,92,0.42,0,24.1
74,VOS-1599,5824,148,0.49,1,23.8
75,VOS-1305,7519,130,0.47,0,23.7
76,VOS-1437,2967,161,0.57,0,23.7
77,VOS-1512,15921,80,0.25,1,23.4
78,VOS-1714,8362,119,0.46,0,23.4
79,VOS-1685,13759,95,0.29,0,23.3
80,VOS-1241,3755,156,0.53,0,23.1
81,VOS-1425,10768,128,0.29,0,22.7
82,VOS-1541,11193,80,0.44,0,22.6
83,VOS-1433,13270,83,0.33,0,22.6
84,VOS-1665,2740,155,0.55,0,22.3
85,VOS-1051,2977,136,0.56,0,21.0
86,VOS-1408,1183,146,0.61,0,21.0
87,VOS-1024,12048,103,0.25,0,20.8
88,VOS-1124,2478,154,0.51,0,20.7
89,VOS-1447,10994,85,0.35,0,20.4
90,VOS-1746,3264,136,0.52,0,20.2
91,VOS-1196,6383,114,0.43,0,19.6
92,VOS-1788,3849,137,0.46,0,19.4
93,VOS-1175,5872,106,0.47,0,19.2
94,VOS-1258,1419,133,0.57,0,19.0
95,VOS-1287,729,140,0.54,0,18.0
96,VOS-1404,5885,116,0.38,0,17.8
97,VOS-1096,11807,76,0.25,0,17.8
98,VOS-1084,7599,89,0.39,0,17.6
99,VOS-1479,6258,86,0.46,0,17.5
100,VOS-1160,5832,98,0.43,0,17.3
101,VOS-1007,2672,110,0.53,0,17.2
102,VOS-1067,8686,81,0.35,0,17.1
103,VOS-1276,12110,59,0.25,0,16.5
104,VOS-1573,5412,118,0.33,0,16.0
105,VOS-1558,11642,59,0.25,0,15.9
106,VOS-1801,4319,147,0.26,0,15.5
107,VOS-1251,11763,52,0.25,0,15.4
108,VOS-1143,11216,54,0.25,0,14.9
109,VOS-1603,4520,91,0.41,0,14.4
110,VOS-1352,5749,76,0.37,0,13.4
111,VOS-1419,8931,60,0.25,0,12.6
112,VOS-1486,2798,93,0.4,0,12.1
113,VOS-1107,4165,94,0.32,0,11.8
114,VOS-1722,2866,100,0.34,0,11.3
115,VOS-1626,5341,80,0.25,0,10.0
116,VOS-1371,6354,40,0.25,0,7.4
117,VOS-1267,578,106,0.28,0,7.3
118,VOS-1060,3376,69,0.25,0,6.4
119,VOS-1672,1180,75,0.3,0,5.6
120,VOS-1149,3603,40,0.25,0,3.9
